"Jul.Day","YYYY/MM/DD","Wdy","JPY/USD"
2447895,"1990/01/03","Wed",144.78
2447902,"1990/01/10","Wed",145.07
2447909,"1990/01/17","Wed",145.68
2447916,"1990/01/24","Wed",145.12
2447923,"1990/01/31","Wed",144.41
2447930,"1990/02/07","Wed",145.32
2447937,"1990/02/14","Wed",144.29
2447944,"1990/02/21","Wed",145.90
2447951,"1990/02/28","Wed",149.25
2447958,"1990/03/07","Wed",150.59
2447965,"1990/03/14","Wed",152.42
2447972,"1990/03/21","Wed",154.11
2447979,"1990/03/28","Wed",157.44
2447986,"1990/04/04","Wed",158.39
2447993,"1990/04/11","Wed",158.26
2448000,"1990/04/18","Wed",158.54
2448007,"1990/04/25","Wed",158.56
2448014,"1990/05/02","Wed",158.50
2448021,"1990/05/09","Wed",156.42
2448028,"1990/05/16","Wed",152.16
2448035,"1990/05/23","Wed",151.52
2448042,"1990/05/30","Wed",151.56
2448049,"1990/06/06","Wed",152.57
2448056,"1990/06/13","Wed",154.41
2448063,"1990/06/20","Wed",154.18
2448070,"1990/06/27","Wed",154.09
2448077,"1990/07/04","Wed",151.07
2448084,"1990/07/11","Wed",148.96
2448091,"1990/07/18","Wed",148.14
2448098,"1990/07/25","Wed",149.14
2448105,"1990/08/01","Wed",148.22
2448112,"1990/08/08","Wed",149.94
2448119,"1990/08/15","Wed",148.65
2448126,"1990/08/22","Wed",146.43
2448133,"1990/08/29","Wed",143.95
2448140,"1990/09/05","Wed",141.59
2448147,"1990/09/12","Wed",138.16
2448154,"1990/09/19","Wed",137.17
2448161,"1990/09/26","Wed",137.48
2448168,"1990/10/03","Wed",135.25
2448175,"1990/10/10","Wed",129.72
2448182,"1990/10/17","Wed",126.30
2448189,"1990/10/24","Wed",127.38
2448196,"1990/10/31","Wed",129.31
2448203,"1990/11/07","Wed",128.38
2448210,"1990/11/14","Wed",129.48
2448217,"1990/11/21","Wed",128.23
2448224,"1990/11/28","Wed",130.50
2448231,"1990/12/05","Wed",133.27
2448238,"1990/12/12","Wed",132.18
2448245,"1990/12/19","Wed",134.22
2448252,"1990/12/26","Wed",135.91
2448259,"1991/01/02","Wed",134.62
2448266,"1991/01/09","Wed",135.18
2448273,"1991/01/16","Wed",134.69
2448280,"1991/01/23","Wed",132.06
2448287,"1991/01/30","Wed",131.62
2448294,"1991/02/06","Wed",128.95
2448301,"1991/02/13","Wed",129.03
2448308,"1991/02/20","Wed",131.42
2448315,"1991/02/27","Wed",133.17
2448322,"1991/03/06","Wed",135.82
2448329,"1991/03/13","Wed",136.79
2448336,"1991/03/20","Wed",137.92
2448343,"1991/03/27","Wed",139.52
2448350,"1991/04/03","Wed",137.72
2448357,"1991/04/10","Wed",136.14
2448364,"1991/04/17","Wed",136.14
2448371,"1991/04/24","Wed",138.29
2448378,"1991/05/01","Wed",137.62
2448385,"1991/05/08","Wed",138.53
2448392,"1991/05/15","Wed",138.32
2448399,"1991/05/22","Wed",137.96
2448406,"1991/05/29","Wed",138.05
2448413,"1991/06/05","Wed",139.24
2448420,"1991/06/12","Wed",141.37
2448427,"1991/06/19","Wed",139.91
2448434,"1991/06/26","Wed",138.39
2448441,"1991/07/03","Wed",138.82
2448448,"1991/07/10","Wed",138.25
2448455,"1991/07/17","Wed",136.75
2448462,"1991/07/24","Wed",137.67
2448469,"1991/07/31","Wed",137.55
2448476,"1991/08/07","Wed",136.29
2448483,"1991/08/14","Wed",136.64
2448490,"1991/08/21","Wed",137.17
2448497,"1991/08/28","Wed",136.88
2448504,"1991/09/04","Wed",135.83
2448511,"1991/09/11","Wed",134.50
2448518,"1991/09/18","Wed",134.09
2448525,"1991/09/25","Wed",133.27
2448532,"1991/10/02","Wed",131.89
2448539,"1991/10/09","Wed",129.92
2448546,"1991/10/16","Wed",129.93
2448553,"1991/10/23","Wed",131.19
2448560,"1991/10/30","Wed",130.93
2448567,"1991/11/06","Wed",129.70
2448574,"1991/11/13","Wed",129.90
2448581,"1991/11/20","Wed",129.61
2448588,"1991/11/27","Wed",129.21
2448595,"1991/12/04","Wed",129.13
2448602,"1991/12/11","Wed",128.85
2448609,"1991/12/18","Wed",128.25
2448616,"1991/12/25","Wed",126.58
2448623,"1992/01/01","Wed",124.98
2448630,"1992/01/08","Wed",125.20
2448637,"1992/01/15","Wed",127.55
2448644,"1992/01/22","Wed",123.45
2448651,"1992/01/29","Wed",125.59
2448658,"1992/02/05","Wed",125.73
2448665,"1992/02/12","Wed",127.34
2448672,"1992/02/19","Wed",128.11
2448679,"1992/02/26","Wed",129.36
2448686,"1992/03/04","Wed",131.22
2448693,"1992/03/11","Wed",133.22
2448700,"1992/03/18","Wed",133.33
